"filename", "language", "Markdown", "Python", "JSON", "YAML", "comment", "blank", "total"
"c:\git\personal\FlappyNEAT\.github\workflows\codespell_and_ruff.yml", "YAML", 0, 0, 0, 14, 5, 1, 20
"c:\git\personal\FlappyNEAT\.obsidian\app.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\git\personal\FlappyNEAT\.obsidian\appearance.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\git\personal\FlappyNEAT\.obsidian\core-plugins.json", "JSON", 0, 0, 30, 0, 0, 0, 30
"c:\git\personal\FlappyNEAT\.obsidian\workspace.json", "JSON", 0, 0, 180, 0, 0, 0, 180
"c:\git\personal\FlappyNEAT\README.md", "Markdown", 60, 0, 0, 0, 0, 33, 93
"c:\git\personal\FlappyNEAT\__main__.py", "Python", 0, 133, 0, 0, 52, 54, 239
"c:\git\personal\FlappyNEAT\game\Bird.py", "Python", 0, 89, 0, 0, 25, 21, 135
"c:\git\personal\FlappyNEAT\game\Ground.py", "Python", 0, 13, 0, 0, 2, 5, 20
"c:\git\personal\FlappyNEAT\game\Pipe.py", "Python", 0, 28, 0, 0, 5, 7, 40
"c:\git\personal\FlappyNEAT\game\globals.py", "Python", 0, 23, 0, 0, 2, 7, 32
"c:\git\personal\FlappyNEAT\game\population.py", "Python", 0, 54, 0, 0, 24, 15, 93
"c:\git\personal\FlappyNEAT\neat\gene.py", "Python", 0, 39, 0, 0, 9, 9, 57
"c:\git\personal\FlappyNEAT\neat\geneh.py", "Python", 0, 13, 0, 0, 6, 2, 21
"c:\git\personal\FlappyNEAT\neat\genome.py", "Python", 0, 268, 0, 0, 29, 67, 364
"c:\git\personal\FlappyNEAT\neat\node.py", "Python", 0, 34, 0, 0, 9, 10, 53
"c:\git\personal\FlappyNEAT\neat\population.py", "Python", 0, 79, 0, 0, 18, 19, 116
"c:\git\personal\FlappyNEAT\neat\species.py", "Python", 0, 50, 0, 0, 3, 12, 65
"c:\git\personal\FlappyNEAT\note\note.md", "Markdown", 104, 0, 0, 0, 0, 37, 141
"Total", "-", 164, 823, 212, 14, 189, 299, 1701